iter	Passed	Remaining
0	1	135
1	2	117
2	3	110
3	4	98
4	5	98
5	6	96
6	7	96
7	8	92
8	9	92
9	10	90
10	11	93
11	13	97
12	14	97
13	15	94
14	16	92
15	17	91
16	18	90
17	19	88
18	20	87
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	78
25	28	79
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	67
36	39	66
37	40	65
38	41	64
39	42	64
40	43	63
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	55	51
52	56	50
53	57	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	83	23
78	84	22
79	84	21
80	86	20
81	87	19
82	88	18
83	89	16
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	104	2
98	105	1
99	106	0
